person,problem,oldObject,newObject,problemName
Deniz,2,13,9,Triangle
Deniz,2,14,9,Triangle
Deniz,2,15,9,Triangle
Deniz,2,3,2,Triangle
Deniz,2,4,2,Triangle
Deniz,2,5,2,Triangle
Deniz,2,6,2,Triangle
Deniz,2,7,2,Triangle
Deniz,2,10,2,Triangle
Deniz,2,11,2,Triangle
Deniz,2,12,2,Triangle
Deniz,2,8,2,Triangle
Deniz,2,18,17,Triangle
Deniz,2,19,17,Triangle
Deniz,2,20,17,Triangle
Deniz,2,21,17,Triangle
Deniz,2,22,17,Triangle
Deniz,2,23,17,Triangle
Deniz,2,25,24,Triangle
Deniz,2,26,24,Triangle
Deniz,2,27,24,Triangle
Deniz,2,29,28,Triangle
Deniz,2,30,28,Triangle
Deniz,2,31,28,Triangle
Deniz,2,32,28,Triangle
Deniz,2,33,28,Triangle
Deniz,2,34,28,Triangle
Deniz,2,35,28,Triangle
Deniz,2,36,28,Triangle
Deniz,2,37,28,Triangle
Deniz,2,38,28,Triangle
Deniz,2,39,28,Triangle
Deniz,2,41,40,Triangle
Deniz,2,42,40,Triangle
Deniz,2,43,40,Triangle
Deniz,2,46,44,Triangle
Deniz,2,47,44,Triangle
Deniz,2,48,44,Triangle
Deniz,2,45,44,Triangle
Deniz,2,50,49,Triangle
Deniz,2,51,49,Triangle
Deniz,2,52,49,Triangle
Deniz,2,57,2,Triangle
Deniz,2,58,2,Triangle
Deniz,2,59,2,Triangle
Kate,2,10,7,Triangle
Kate,2,11,7,Triangle
Kate,2,12,7,Triangle
Kate,2,14,13,Triangle
Kate,2,15,13,Triangle
Kate,2,16,13,Triangle
Kate,2,18,13,Triangle
Kate,2,20,19,Triangle
Kate,2,25,19,Triangle
Kate,2,26,24,Triangle
Kate,2,35,7,Triangle
Kate,2,36,9,Triangle
Kate,2,29,28,Triangle
Kate,2,30,28,Triangle
Kate,2,31,28,Triangle
Kate,2,32,28,Triangle
Kate,2,33,28,Triangle
Kate,2,34,28,Triangle
Kate,2,37,9,Triangle
Kate,2,38,19,Triangle
Nachiket,1,6,5,Function
Nachiket,1,7,5,Function
Nachiket,1,13,12,Function
Nachiket,1,23,22,Function
Neil,2,5,4,Triangle
Neil,2,6,4,Triangle
Neil,2,7,4,Triangle
Neil,2,8,4,Triangle
Neil,2,11,10,Triangle
Neil,2,13,12,Triangle
Neil,2,14,12,Triangle
Neil,2,15,12,Triangle
Neil,2,17,16,Triangle
Neil,2,18,16,Triangle
Neil,2,20,16,Triangle
Neil,2,21,16,Triangle
Neil,2,23,12,Triangle
Neil,2,26,25,Triangle
Prasit,2,6,5,Function
Prasit,2,15,14,Function
Prasit,2,18,17,Function
Prasit,2,19,14,Function
Prasit,2,21,8,Function
Prasit,2,22,13,Function
Prasit,2,23,17,Function
Prasit,3,8,3,Triangle
Prasit,3,9,3,Triangle
Prasit,3,10,3,Triangle
Prasit,3,12,5,Triangle
Prasit,3,14,5,Triangle
Prasit,3,17,15,Triangle
Prasit,3,16,11,Triangle
Prasit,3,22,15,Triangle
Prasit,3,21,6,Triangle
Prasit,3,26,6,Triangle
Sanjana,2,9,8,Triangle
Sanjana,2,10,8,Triangle
Sanjana,2,26,25,Triangle
Sanjana,2,30,29,Triangle
Sanjana,2,31,29,Triangle
Sanjana,2,32,29,Triangle
Sanjana,2,33,29,Triangle
Sanjana,2,38,29,Triangle
Sanjana,2,40,29,Triangle
Sanjana,2,46,45,Triangle
Sanjana,2,50,45,Triangle
Sanjana,2,57,55,Triangle
Sanjana,2,61,57,Triangle
Sanjana,2,59,55,Triangle
Sanjana,2,56,55,Triangle
Sanjana,2,67,66,Triangle
Sanjana,2,68,66,Triangle
Sanjana,2,69,66,Triangle
Sanjana,2,73,72,Triangle
Sanjana,2,74,72,Triangle
Sanjana,2,78,77,Triangle
Sanjana,2,79,77,Triangle
Sanjana,2,80,77,Triangle
Sanjana,2,82,81,Triangle
Sanjana,2,83,81,Triangle
Sanjana,2,84,81,Triangle
Sanjana,2,99,98,Triangle
Sanjana,2,96,95,Triangle
Sanjana,2,101,97,Triangle
Sanjana,2,102,97,Triangle
Sanjana,2,106,104,Triangle
Sanjana,2,107,104,Triangle
Sanjana,2,108,104,Triangle
Sanjana,2,105,103,Triangle
Sanjana,2,109,103,Triangle
Sanjana,2,110,104,Triangle
Sanjana,2,112,104,Triangle
Sanjana,2,111,103,Triangle
Sanjana,2,114,104,Triangle
Sanjana,2,116,113,Triangle
Steven,2,4,2,Triangle
Steven,2,10,7,Triangle
Steven,2,11,8,Triangle
Steven,2,13,12,Triangle
Steven,2,14,9,Triangle
Steven,2,22,21,Triangle
Steven,2,23,8,Triangle
Steven,2,24,8,Triangle
Steven,2,25,8,Triangle
Steven,2,32,31,Triangle
Steven,2,30,28,Triangle
Steven,2,33,31,Triangle
Steven,2,36,35,Triangle
Steven,2,37,35,Triangle
Steven,2,41,40,Triangle
Steven,2,42,40,Triangle
Steven,2,39,21,Triangle
Steven,2,43,18,Triangle
Steven,2,44,18,Triangle
Steven,2,45,18,Triangle
Steven,2,46,18,Triangle
Steven,2,47,18,Triangle
Dami,2,4,3,Triangle
Dami,2,5,3,Triangle
Dami,2,6,3,Triangle
Dami,2,9,8,Triangle
Dami,2,10,8,Triangle
Dami,2,11,8,Triangle
Dami,2,24,23,Triangle
Dami,2,27,26,Triangle
Dami,2,28,26,Triangle
Dami,2,29,26,Triangle
Dami,2,31,30,Triangle
Dami,2,33,30,Triangle
Dami,2,34,32,Triangle
Dami,2,36,23,Triangle
Dami,2,37,26,Triangle
Dami,2,38,35,Triangle
Dami,2,39,35,Triangle
Dami,2,40,35,Triangle
Dami,2,41,35,Triangle
Dami,2,42,35,Triangle
Dami,2,43,35,Triangle
Dami,2,45,44,Triangle
Dami,2,46,44,Triangle
Dami,2,47,44,Triangle
Dami,2,48,44,Triangle
Dami,2,49,44,Triangle
Dami,2,50,44,Triangle
Nachiket,2,3,2,Triangle
Nachiket,2,5,4,Triangle
Nachiket,2,6,4,Triangle
Nachiket,2,7,4,Triangle
Nachiket,2,8,4,Triangle
Nachiket,2,10,9,Triangle
Nachiket,2,11,9,Triangle
Nachiket,2,12,9,Triangle
Nachiket,2,14,9,Triangle
Nachiket,2,15,9,Triangle
Nachiket,2,16,9,Triangle
Nachiket,2,17,9,Triangle
Nachiket,2,19,18,Triangle
Nachiket,2,20,18,Triangle
Nachiket,2,21,18,Triangle
Nachiket,2,22,18,Triangle
Nachiket,2,23,18,Triangle
Nachiket,2,24,18,Triangle
Nachiket,2,25,18,Triangle
Nachiket,2,27,18,Triangle
Nachiket,2,28,18,Triangle
Nachiket,2,29,18,Triangle
Nachiket,2,34,33,Triangle
Nachiket,2,35,33,Triangle
Nachiket,2,36,33,Triangle
Nachiket,2,37,33,Triangle
Nachiket,2,38,33,Triangle
Nachiket,2,39,33,Triangle
Nachiket,2,40,18,Triangle
Nachiket,2,30,26,Triangle
Nachiket,2,41,26,Triangle
Nachiket,2,42,26,Triangle
Prasit,3,5,4,Powerset
